transcript_identifier,gene_id,gene_symbol,pathway_id,annotation_version
Cre01.g000300.t1.1,Cre01.g000300,,Creinhardtii PWY0-1319,v5.5
Cre01.g000300.t1.1,Cre01.g000300,,Creinhardtii PWY4FS-7,v5.5
Cre01.g000300.t1.1,Cre01.g000300,,Creinhardtii PWY4FS-8,v5.5
Cre01.g000300.t1.1,Cre01.g000300,,Creinhardtii PWY-5667,v5.5
Cre01.g000300.t1.1,Cre01.g000300,,Creinhardtii PWY-7411,v5.5
Cre01.g000300.t1.1,Cre01.g000300,,Creinhardtii PWY-7417,v5.5
Cre01.g000300.t1.1,Cre01.g000300,,Creinhardtii TRIGLSYN-PWY,v5.5
Cre01.g002050.t1.1,Cre01.g002050,,Creinhardtii PWY-5083,v5.5
Cre01.g002050.t1.1,Cre01.g002050,,Creinhardtii PWY-6348,v5.5
Cre01.g004300.t1.2,Cre01.g004300,ASN1,Creinhardtii ASPARAGINE-BIOSYNTHESIS,v5.5
Cre01.g004300.t1.2,Cre01.g004300,ASN1,Creinhardtii ASPARAGINESYN-PWY,v5.5
Cre01.g004300.t1.2,Cre01.g004300,ASN1,Creinhardtii GLUTAMINDEG-PWY,v5.5
Cre01.g004300.t1.2,Cre01.g004300,ASN1,Creinhardtii PWY0-1325,v5.5
Cre01.g004300.t1.2,Cre01.g004300,ASN1,Creinhardtii PWY0-1325,v5.5
Cre01.g004500.t1.2,Cre01.g004500,,Creinhardtii BRANCHED-CHAIN-AA-SYN-PWY,v5.5
Cre01.g004500.t1.2,Cre01.g004500,,Creinhardtii BRANCHED-CHAIN-AA-SYN-PWY,v5.5
Cre01.g004500.t1.2,Cre01.g004500,,Creinhardtii LEUSYN-PWY,v5.5
Cre01.g004500.t1.2,Cre01.g004500,,Creinhardtii LEUSYN-PWY,v5.5
Cre01.g005150.t1.1,Cre01.g005150,,Creinhardtii GLYSYN-ALA-PWY,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii ANAGLYCOLYSIS-PWY,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii ANAGLYCOLYSIS-PWY,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii CALVIN-PWY,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii GLUCONEO-PWY,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii GLUCONEO-PWY,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii PWY-1042,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii PWY-1042,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii PWY-5464,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii PWY-5464,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii PWY66-399,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii PWY66-399,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii SUCSYN-PWY,v5.5
Cre01.g006950.t1.1,Cre01.g006950,FBA1,Creinhardtii SUCSYN-PWY,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii ANAGLYCOLYSIS-PWY,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii ANAGLYCOLYSIS-PWY,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii CALVIN-PWY,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii GLUCONEO-PWY,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii GLUCONEO-PWY,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii PWY-1042,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii PWY-1042,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii PWY-5464,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii PWY-5464,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii PWY66-399,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii PWY66-399,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii SUCSYN-PWY,v5.5
Cre01.g006950.t2.1,Cre01.g006950,FBA1,Creinhardtii SUCSYN-PWY,v5.5
Cre01.g007600.t1.1,Cre01.g007600,,Creinhardtii PWY-6787,v5.5
Cre01.g007600.t1.1,Cre01.g007600,,Creinhardtii PWY-6787,v5.5
Cre01.g007600.t2.1,Cre01.g007600,,Creinhardtii PWY-6787,v5.5
Cre01.g007600.t2.1,Cre01.g007600,,Creinhardtii PWY-6787,v5.5
Cre01.g008891.t1.2,Cre01.g008891,,Creinhardtii PWY-5350,v5.5
Cre01.g009350.t1.2,Cre01.g009350,,Creinhardtii POLYAMINSYN3-PWY,v5.5
Cre01.g009350.t1.2,Cre01.g009350,,Creinhardtii PWY-43,v5.5
Cre01.g010900.t1.2,Cre01.g010900,GAP3,Creinhardtii CALVIN-PWY,v5.5
Cre01.g012600.t1.1,Cre01.g012600,PGM1,Creinhardtii GLYCOGENSYNTH-PWY,v5.5
Cre01.g012600.t1.1,Cre01.g012600,PGM1,Creinhardtii PWY0-1296,v5.5
Cre01.g012600.t1.1,Cre01.g012600,PGM1,Creinhardtii PWY-622,v5.5
Cre01.g012600.t1.1,Cre01.g012600,PGM1,Creinhardtii PWY66-422,v5.5
Cre01.g012600.t1.1,Cre01.g012600,PGM1,Creinhardtii PWY-7238,v5.5
Cre01.g012600.t1.1,Cre01.g012600,PGM1,Creinhardtii PWY-7343,v5.5
Cre01.g012600.t1.1,Cre01.g012600,PGM1,Creinhardtii SUCSYN-PWY,v5.5
Cre01.g013801.t1.2,Cre01.g013801,,Creinhardtii PWY-1422,v5.5
Cre01.g013801.t1.2,Cre01.g013801,,Creinhardtii PWY-1422,v5.5
Cre01.g013801.t1.2,Cre01.g013801,,Creinhardtii PWY-7436,v5.5
Cre01.g013801.t1.2,Cre01.g013801,,Creinhardtii PWY-7436,v5.5
Cre01.g015000.t1.2,Cre01.g015000,NAGK1,Creinhardtii ARGSYNBSUB-PWY,v5.5
Cre01.g015000.t1.2,Cre01.g015000,NAGK1,Creinhardtii ARGSYN-PWY,v5.5
Cre01.g015000.t1.2,Cre01.g015000,NAGK1,Creinhardtii GLUTORN-PWY,v5.5
Cre01.g015350.t1.1,Cre01.g015350,,Creinhardtii CHLOROPHYLL-SYN,v5.5
Cre01.g016514.t1.1,Cre01.g016514,DLD2,Creinhardtii GLYCLEAV-PWY,v5.5
Cre01.g016514.t1.1,Cre01.g016514,DLD2,Creinhardtii PWY-5046,v5.5
Cre01.g016514.t1.1,Cre01.g016514,DLD2,Creinhardtii PWY-5084,v5.5
Cre01.g016514.t1.1,Cre01.g016514,DLD2,Creinhardtii PWY-5464,v5.5
Cre01.g016514.t1.1,Cre01.g016514,DLD2,Creinhardtii PYRUVDEHYD-PWY,v5.5
Cre01.g018100.t1.2,Cre01.g018100,,Creinhardtii PWY4FS-7,v5.5
Cre01.g018100.t1.2,Cre01.g018100,,Creinhardtii PWY4FS-8,v5.5
Cre01.g018100.t1.2,Cre01.g018100,,Creinhardtii PWY-5269,v5.5
Cre01.g018400.t1.1,Cre01.g018400,,Creinhardtii PWY-6365,v5.5
Cre01.g018400.t1.1,Cre01.g018400,,Creinhardtii PWY-6366,v5.5
Cre01.g018400.t1.1,Cre01.g018400,,Creinhardtii PWY-6554,v5.5
Cre01.g018400.t1.1,Cre01.g018400,,Creinhardtii PWY-6554,v5.5
Cre01.g018500.t1.1,Cre01.g018500,,Creinhardtii PWY-6012-1,v5.5
Cre01.g018950.t1.2,Cre01.g018950,DHS1,Creinhardtii PWY-5905,v5.5
Cre01.g018950.t1.2,Cre01.g018950,DHS1,Creinhardtii PWY-5905,v5.5
Cre01.g018950.t1.2,Cre01.g018950,DHS1,Creinhardtii PWY-5905,v5.5
Cre01.g018950.t1.2,Cre01.g018950,DHS1,Creinhardtii PWY-5905,v5.5
Cre01.g019250.t1.2,Cre01.g019250,,Creinhardtii PWY-882,v5.5
Cre01.g020223.t1.1,Cre01.g020223,FUM2,Creinhardtii PWY-5464,v5.5
Cre01.g020223.t1.1,Cre01.g020223,FUM2,Creinhardtii PWY-561,v5.5
Cre01.g020223.t1.1,Cre01.g020223,FUM2,Creinhardtii PWY-5690,v5.5
Cre01.g020350.t1.2,Cre01.g020350,SDH3,Creinhardtii PWY-3781,v5.5
Cre01.g020350.t1.2,Cre01.g020350,SDH3,Creinhardtii PWY-4302,v5.5
Cre01.g020350.t1.2,Cre01.g020350,SDH3,Creinhardtii PWY-5464,v5.5
